"","X","continent","country","year","pop","gdp","lifeExp","gdpPercap"
"1",1,"Africa","Algeria",1952,9279525,22725632677.9121,43.077,2449.008185
"2",2,"Africa","Algeria",1957,10270856,30956113719.6857,45.685,3013.976023
"3",3,"Africa","Algeria",1962,11000948,28061403854.4022,48.303,2550.81688
"4",4,"Africa","Algeria",1967,12760499,41433235246.8537,51.407,3246.991771
"5",5,"Africa","Angola",1952,4232095,14899557133.3119,30.015,3520.61027299999
"6",6,"Africa","Angola",1957,4561361,17460618347.3729,31.999,3827.94046500001
"7",7,"Africa","Angola",1962,4826015,20603593596.0431,34,4269.27674199999
"8",8,"Africa","Angola",1967,5247469,28980597821.7449,35.985,5522.776375
"9",9,"Africa","Benin",1952,1738315,1847398090.543,38.223,1062.7522
"10",10,"Africa","Benin",1957,1925173,1847398090.94943,40.358,959.601080500002
"11",11,"Africa","Benin",1962,2151895,2043222288.54147,42.618,949.4990641
"12",12,"Africa","Benin",1967,2427334,2514308802.18827,44.885,1035.831411
"13",13,"Africa","Botswana",1952,442308,376510766.460736,47.622,851.241140700001
"14",14,"Africa","Botswana",1957,474639,435828972.132401,49.618,918.2325349
"15",15,"Africa","Botswana",1962,512764,504382347.55477,51.52,983.653976400001
"16",16,"Africa","Botswana",1967,553541,672391397.310054,53.298,1214.709294
"17",17,"Africa","Burkina Faso",1952,4469979,2428339520.25093,31.975,543.255241299999
"18",18,"Africa","Burkina Faso",1957,4713416,2909042417.92376,34.906,617.183464800001
"19",19,"Africa","Burkina Faso",1962,4919632,3554493256.92842,37.814,722.5120206
"20",20,"Africa","Burkina Faso",1967,5127935,4075818934.41522,40.697,794.8265597
"21",21,"Africa","Burundi",1952,2445618,829789526.732977,39.031,339.2964587
"22",22,"Africa","Burundi",1957,2667518,1012495477.62006,40.533,379.564628100002
"23",23,"Africa","Burundi",1962,2961915,1052081766.98828,42.045,355.2032273
"24",24,"Africa","Burundi",1967,3330989,1375623555.04895,43.548,412.9775136
"25",25,"Africa","Cameroon",1952,5009067,5873970852.62788,38.523,1172.667655
"26",26,"Africa","Cameroon",1957,5359923,7037836705.93638,40.428,1313.048099
"27",27,"Africa","Cameroon",1962,5793633,8108811857.22315,42.643,1399.607441
"28",28,"Africa","Cameroon",1967,6335506,9556813969.87289,44.799,1508.453148
"29",29,"Africa","Central African Republic",1952,1291695,1383806691.42853,35.463,1071.310713
"30",30,"Africa","Central African Republic",1957,1392284,1657993504.36515,37.464,1190.844328
"31",31,"Africa","Central African Republic",1962,1523478,1817613997.68293,39.475,1193.068753
"32",32,"Africa","Central African Republic",1967,1733638,1969510917.91537,41.478,1136.056615
"33",33,"Africa","Chad",1952,2682462,3161726559.87227,38.092,1178.665927
"34",34,"Africa","Chad",1957,2894855,3787904963.55633,39.881,1308.495577
"35",35,"Africa","Chad",1962,3150417,4378505050.64671,41.716,1389.817618
"36",36,"Africa","Chad",1967,3495967,4184010240.49135,43.601,1196.810565
"37",37,"Africa","Comoros",1952,153936,169790012.724096,40.715,1102.990936
"38",38,"Africa","Comoros",1957,170928,207019199.012544,42.46,1211.148548
"39",39,"Africa","Comoros",1962,191689,269639001.761542,44.467,1406.648278
"40",40,"Africa","Comoros",1967,217378,407807571.736054,46.472,1876.029643
"41",41,"Africa","Congo Dem. Rep.",1952,14100005,11005650695.0816,39.143,780.542325699998
"42",42,"Africa","Congo Dem. Rep.",1957,15577932,14111429069.1177,40.652,905.860230299998
"43",43,"Africa","Congo Dem. Rep.",1962,17486434,15673346681.9319,42.122,896.314633499998
"44",44,"Africa","Congo Dem. Rep.",1967,19941073,17181093743.0051,44.056,861.5932424
"45",45,"Africa","Congo Rep.",1952,854885,1817161865.92693,42.111,2125.621418
"46",46,"Africa","Congo Rep.",1957,940458,2177213473.58998,45.053,2315.056572
"47",47,"Africa","Congo Rep.",1962,1047924,2582905425.01607,48.435,2464.783157
"48",48,"Africa","Congo Rep.",1967,1179760,3159326072.04592,52.04,2677.939642
"49",49,"Africa","Cote d'Ivoire",1952,2977019,4133872900.46391,40.477,1388.594732
"50",50,"Africa","Cote d'Ivoire",1957,3300000,4952956552.5,42.469,1500.895925
"51",51,"Africa","Cote d'Ivoire",1962,3832408,6625733026.82262,44.93,1728.869428
"52",52,"Africa","Cote d'Ivoire",1967,4744870,9736712727.82351,47.35,2052.050473
"53",53,"Africa","Djibouti",1952,63149,168578116.816775,34.812,2669.529475
"54",54,"Africa","Djibouti",1957,71851,205850893.079676,37.328,2864.969076
"55",55,"Africa","Djibouti",1962,89898,271580892.765174,39.693,3020.989263
"56",56,"Africa","Djibouti",1967,127617,385409786.317521,42.074,3020.050513
"57",57,"Africa","Egypt",1952,22223309,31530929611.3705,41.893,1418.822445
"58",58,"Africa","Egypt",1957,25009741,36487093093.6646,44.444,1458.915272
"59",59,"Africa","Egypt",1962,28173309,47706874227.3476,46.992,1693.335853
"60",60,"Africa","Egypt",1967,31681188,57497577541.3449,49.293,1814.880728
"61",61,"Africa","Equatorial Guinea",1952,216964,81501034.5602684,34.482,375.6431231
"62",62,"Africa","Equatorial Guinea",1957,232922,99247227.5674682,35.983,426.0964081
"63",63,"Africa","Equatorial Guinea",1962,249220,145255876.112308,37.485,582.8419714
"64",64,"Africa","Equatorial Guinea",1967,259864,237930439.59366,38.987,915.5960025
"65",65,"Africa","Eritrea",1952,1438760,473266515.933196,35.928,328.9405571
"66",66,"Africa","Eritrea",1957,1542611,530907910.970085,38.047,344.1618859
"67",67,"Africa","Eritrea",1962,1666618,634974530.368959,40.158,380.9958433
"68",68,"Africa","Eritrea",1967,1820319,853356390.813398,42.189,468.7949699
"69",69,"Africa","Ethiopia",1952,20860941,7554712172.1051,34.078,362.1462796
"70",70,"Africa","Ethiopia",1957,22815614,8644931130.56421,36.667,378.9041632
"71",71,"Africa","Ethiopia",1962,25145372,10547387620.6213,40.059,419.4564161
"72",72,"Africa","Ethiopia",1967,27860297,14379218703.5052,42.115,516.1186438
"73",73,"Africa","Gabon",1952,420702,1806274139.98545,37.003,4293.476475
"74",74,"Africa","Gabon",1957,434904,2164168458.0475,38.999,4976.19809900001
"75",75,"Africa","Gabon",1962,455661,3021697340.55574,40.489,6631.45922199999
"76",76,"Africa","Gabon",1967,489004,4087468046.69095,44.598,8358.761987
"77",77,"Africa","Gambia",1952,284320,137960780.995312,30,485.2306591
"78",78,"Africa","Gambia",1957,323150,168337466.691965,32.065,520.9267111
"79",79,"Africa","Gambia",1962,374020,224281196.22952,33.896,599.650276
"80",80,"Africa","Gambia",1967,439593,323005424.810653,35.857,734.7829124
"81",81,"Africa","Ghana",1952,5581001,5085960279.25404,43.149,911.2989371
"82",82,"Africa","Ghana",1957,6391288,6669702328.68966,44.779,1043.561537
"83",83,"Africa","Ghana",1962,7355248,8753047553.08727,46.452,1190.041118
"84",84,"Africa","Ghana",1967,8490213,9557408661.89508,48.072,1125.69716
"85",85,"Africa","Guinea",1952,2664249,1359290494.41378,33.609,510.196492299999
"86",86,"Africa","Guinea",1957,2876726,1657762332.32179,34.558,576.267024500001
"87",87,"Africa","Guinea",1962,3140003,2155215395.16702,35.753,686.373673899999
"88",88,"Africa","Guinea",1967,3451418,2446225437.134,37.197,708.759540900001
"89",89,"Africa","Guinea-Bissau",1952,580653,174108987.278307,32.5,299.850319
"90",90,"Africa","Guinea-Bissau",1957,601095,259547084.509977,33.489,431.7904566
"91",91,"Africa","Guinea-Bissau",1962,627820,327743619.74295,34.488,522.0343725
"92",92,"Africa","Guinea-Bissau",1967,601287,430269336.403937,35.492,715.580640199999
"93",93,"Africa","Kenya",1952,6464046,5517327763.29827,42.27,853.540918999999
"94",94,"Africa","Kenya",1957,7454779,7040578918.94834,44.686,944.4383152
"95",95,"Africa","Kenya",1962,8678557,7784373796.89947,47.949,896.9663732
"96",96,"Africa","Kenya",1967,10191512,10769742282.353,50.654,1056.736457
"97",97,"Africa","Lesotho",1952,748747,223760204.771239,42.138,298.8462121
"98",98,"Africa","Lesotho",1957,813338,273279221.601204,45.047,335.9971151
"99",99,"Africa","Lesotho",1962,893143,367796847.043404,47.747,411.8006266
